participant,power,distance,imposition,boundary_hz,utterance_hz
test01,0,0,0,321.34497,240.9163231
test01,0,0,0,91.62356679,237.6397143
test01,0,0,0,311.5520101,246.5012189
test01,0,0,1,292.6557013,217.3954839
test01,0,0,1,199.0471397,209.4334087
test01,0,0,1,383.38548,194.6829084
test01,0,1,0,158.2928721,228.9494674
test01,0,1,0,284.832945,229.3463482
test01,0,1,0,274.6242633,205.0786439
test01,0,1,1,369.5967924,218.8406684
test01,0,1,1,195.1622773,195.6873745
test01,0,1,1,228.221559,195.8528033
test01,1,0,0,203.4812523,208.6750523
test01,1,0,0,234.7468801,206.6236567
test01,1,0,0,224.7089118,230.4406252
test01,1,0,1,195.8804382,200.6567196
test01,1,0,1,,193.4687459
test01,1,0,1,291.0111201,197.8502593
test01,1,0,1,165.573148,210.7383487
test01,1,1,0,185.9462796,183.8993673
test01,1,1,0,309.4078827,218.8787214
test01,1,1,0,,188.9085306
test01,1,1,1,91.84882466,178.0165137
test01,1,1,1,139.8901816,188.5593713
test01,1,1,1,153,173
test00,0,0,0,94.58765292,97.46583953
test00,0,0,0,105.6690523,114.26133
test00,0,0,0,118.9468089,100.2339418
test00,0,0,1,128.2117173,116.3931913
test00,0,0,1,145.2854557,104.4303711
test00,0,0,1,134.4978038,116.1852531
test00,0,1,0,146.4038219,107.7194525
test00,0,1,0,148.8046929,115.4104008
test00,0,1,0,124.9058162,106.6781119
test00,0,1,1,130.4001999,105.5832974
test00,0,1,1,170.8210024,126.9764357
test00,0,1,1,96.34951952,103.5340104
test00,1,0,0,115.9613419,102.9407977
test00,1,0,0,,
test00,1,0,0,143.5987635,114.5590028
test00,1,0,1,125.9255645,104.745755
test00,1,0,1,133.1316432,102.6443557
test00,1,0,1,121.8198025,102.2989927
test00,1,0,1,157.2636696,102.7241675
test00,1,1,0,143.8207359,133.1220709
test00,1,1,0,113.1991636,114.3767382
test00,1,1,0,117.4978022,104.0701735
test00,1,1,1,105.7840121,98.87953259
test00,1,1,1,133.9726673,105.1661243
test00,1,1,1,132.5346,105.846905
